angebot	NOUN	20
zeitung	NOUN	19
wissen	VERB	19
wahl	NOUN	19
verschieden	ADJ	19
vergangenheit	NOUN	19
spielen	VERB	19
schlecht	ADJ	19
quartal	NOUN	19
position	NOUN	19
offen	ADJ	19
künftig	ADJ	19
kampf	NOUN	19
film	NOUN	19
verlieren	VERB	18
test	NOUN	18
tatsächlich	ADJ	18
schreiben	VERB	18
programm	NOUN	18
markt	NOUN	18
leute	NOUN	18
jugendliche	NOUN	18
interview	NOUN	18
fahrzeug	NOUN	18
erfolgreich	ADJ	18
bezirk	NOUN	18
behörde	NOUN	18
arbeiten	VERB	18
voll	ADJ	17
veröffentlichen	VERB	17
verein	NOUN	17
unklar	ADJ	17
suche	NOUN	17
schutz	NOUN	17
rückkehr	NOUN	17
qualität	NOUN	17
patient	NOUN	17
moment	NOUN	17
mitteilung	NOUN	17
lieb	ADJ	17
infektion	NOUN	17
hintergrund	NOUN	17
grad	NOUN	17
gewinnen	VERB	17
gesundheitsminister	NOUN	17
führen	VERB	17
fordern	VERB	17
einzig	ADJ	17
chance	NOUN	17
boden	NOUN	17
bekennen	VERB	17
ankündigen	VERB	17
alter	NOUN	17
zeuge	NOUN	16
zahlreich	ADJ	16
weltweit	ADJ	16
vorjahr	NOUN	16
treffen	VERB	16
stelle	NOUN	16
stand	NOUN	16
staat	NOUN	16
sport	NOUN	16
sache	NOUN	16
notwendig	ADJ	16
neuinfektion	NOUN	16
nehmen	VERB	16
nachfrage	NOUN	16
mehrfach	ADJ	16
mädchen	NOUN	16
luft	NOUN	16
kosten	NOUN	16
handeln	VERB	16
sperren	VERB	16
flucht	NOUN	16
erzählen	VERB	16
erwarten	VERB	16
einwohner	NOUN	16
bundestag	NOUN	16
berliner	ADJ	16
beamter	NOUN	16
bahn	NOUN	16
ändern	VERB	16
aktiv	ADJ	16
aktion	NOUN	16
zeichen	NOUN	15
winter	NOUN	15
verlängerung	NOUN	15
us-dollar	NOUN	15
start	NOUN	15
staatsanwaltschaft	NOUN	15
sogenannt	ADJ	15
relativ	ADJ	15
raum	NOUN	15
politisch	ADJ	15
Öffentlichkeit	NOUN	15
motto	NOUN	15
mehrheit	NOUN	15
lösung	NOUN	15
krise	NOUN	15
körper	NOUN	15
komplett	ADJ	15
kollege	NOUN	15
job	NOUN	15
helfen	VERB	15
herbst	NOUN	15
gespräch	NOUN	15
gesamt	ADJ	15
nutzen	VERB	15
gemeinde	NOUN	15
gebäude	NOUN	15
franke	NOUN	15
firma	NOUN	15
ehemalig	ADJ	15
dollar	NOUN	15
bühne	NOUN	15
besucher	NOUN	15
beginnen	VERB	15
ball	NOUN	15
aktie	NOUN	15
abend	NOUN	15
vorwurf	NOUN	14
vollständig	ADJ	14
verkaufen	VERB	14
verkauf	NOUN	14
verfügung	NOUN	14
tor	NOUN	14
stunde	NOUN	14
studie	NOUN	14
sozial	ADJ	14
schnitt	NOUN	14
regelmäßig	ADJ	14
rede	NOUN	14
recht	ADJ	14
quarantäne	NOUN	14
post	NOUN	14
plan	NOUN	14
personal	NOUN	14
partner	NOUN	14
opfer	NOUN	14
netz	NOUN	14
nähe	NOUN	14
mitglied	NOUN	14
liga	NOUN	14
karriere	NOUN	14
hoffen	VERB	14
hinweis	NOUN	14
heutig	ADJ	14
handel	NOUN	14
sterben	VERB	14
gegner	NOUN	14
fahren	VERB	14
freuen	VERB	14
frei	ADJ	14
fehlen	VERB	14
europäisch	ADJ	14
einzeln	ADJ	14
bundestagswahl	NOUN	14
bundesrat	NOUN	14
buch	NOUN	14
betreffen	VERB	14
zusätzlich	ADJ	13
zusammenarbeit	NOUN	13
völlig	ADJ	13
viertel	NOUN	13
verletzung	NOUN	13
verlassen	VERB	13
update	NOUN	13
unbedingt	ADJ	13
starten	VERB	13
sprecher	NOUN	13
rückgang	NOUN	13
publikum	NOUN	13
produkt	NOUN	13
plötzlich	ADJ	13
nennen	VERB	13
musik	NOUN	13
münchner	ADJ	13
meinen	VERB	13
maske	NOUN	13
lockerung	NOUN	13
leistung	NOUN	13
legen	VERB	13
kostenlos	ADJ	13
kontrolle	NOUN	13
koalition	NOUN	13
kaufen	VERB	13
impfpflicht	NOUN	13
idee	NOUN	13
haltung	NOUN	13
hälfte	NOUN	13
grenze	NOUN	13
gleichzeitig	ADJ	13
glauben	VERB	13
geplant	ADJ	13
melden	VERB	13
gast	NOUN	13
fühlen	VERB	13
fallen	VERB	13
essen	NOUN	13
erfahrung	NOUN	13
drittel	NOUN	13
bezug	NOUN	13
behandeln	VERB	13
bau	NOUN	13
anteil	NOUN	13
anstieg	NOUN	13
ag	NOUN	13
abschließen	VERB	13
zuschauer	NOUN	12
zug	NOUN	12
wiener	ADJ	12
weise	NOUN	12
weihnachten	NOUN	12
wechsel	NOUN	12
warten	VERB	12
virus	NOUN	12
verzichten	VERB	12
vertrag	NOUN	12
verhindern	VERB	12
verfahren	NOUN	12
vereinigung	NOUN	12
unterstützen	VERB	12
unterschiedlich	ADJ	12
tod	NOUN	12
todesfall	NOUN	12
termin	NOUN	12
strecke	NOUN	12
schwierig	ADJ	12
schluß	NOUN	12
russisch	ADJ	12
runde	NOUN	12
rat	NOUN	12
prozeß	NOUN	12
privat	ADJ	12
preis	NOUN	12
persönlich	ADJ	12
österreichisch	ADJ	12
organisation	NOUN	12
nötig	ADJ	12
maximal	ADJ	12
lebensmittel	NOUN	12
kilometer	NOUN	12
kanzlerin	NOUN	12
investition	NOUN	12
infektionszahl	NOUN	12
hoffnung	NOUN	12
heimat	NOUN	12
gewalt	NOUN	12
gesicht	NOUN	12
gericht	NOUN	12
führung	NOUN	12
fokus	NOUN	12
entwickeln	VERB	12
einschränkung	NOUN	12
einsetzen	VERB	12
druck	NOUN	12
brand	NOUN	12
bestätigen	VERB	12
bericht	NOUN	12
behandlung	NOUN	12
automatisch	ADJ	12
ausbau	NOUN	12
aufstellen	VERB	12
aufnehmen	VERB	12
arzt	NOUN	12
arbeitgeber	NOUN	12
antwort	NOUN	12
abstand	NOUN	12
abschluß	NOUN	12
zustand	NOUN	11
zugang	NOUN	11
ziehen	VERB	11
zeitraum	NOUN	11
wahrscheinlich	ADJ	11
vorstellen	VERB	11
viert	ADJ	11
video	NOUN	11
verwenden	VERB	11
vertreter	NOUN	11
verkehr	NOUN	11
verhandlung	NOUN	11
veranstaltung	NOUN	11
umsatz	NOUN	11
umgang	NOUN	11
treten	VERB	11
stimme	NOUN	11
stecken	VERB	11
stadtteil	NOUN	11
sorgen	VERB	11
sorge	NOUN	11
software	NOUN	11
schützen	VERB	11
schön	ADJ	11
satz	NOUN	11
ruhe	NOUN	11
polizist	NOUN	11
phase	NOUN	11
pause	NOUN	11
passieren	VERB	11
parlament	NOUN	11
offiziell	ADJ	11
niveau	NOUN	11
musiker	NOUN	11
massiv	ADJ	11
links	ADJ	11
klimaschutz	NOUN	11
kennen	VERB	11
kanton	NOUN	11
innenminister	NOUN	11
herausforderung	NOUN	11
hauptstadt	NOUN	11
geschäft	NOUN	11
gemeinderat	NOUN	11
gefühl	NOUN	11
bitten	VERB	11
fuß	NOUN	11
folgen	VERB	11
flughafen	NOUN	11
ermittlung	NOUN	11
erde	NOUN	11
empfehlen	VERB	11
einsatzkraft	NOUN	11
dienstagabend	NOUN	11
deutsche	NOUN	11
demokratie	NOUN	11
debatte	NOUN	11
bisherig	ADJ	11
besuch	NOUN	11
bestehend	ADJ	11
autofahrer	NOUN	11
aussage	NOUN	11
auge	NOUN	11
amt	NOUN	11
absolut	ADJ	11
zustimmung	NOUN	10
zentrum	NOUN	10
zahlen	VERB	10
wunder	NOUN	10
wort	NOUN	10
warnen	VERB	10
vortag	NOUN	10
vorsehen	VERB	10
vorgehen	NOUN	10
vorgabe	NOUN	10
verwaltung	NOUN	10
versorgung	NOUN	10
verbessern	VERB	10
veränderung	NOUN	10
variante	NOUN	10
unfall	NOUN	10
überraschend	ADJ	10
türe	NOUN	10
training	NOUN	10
tier	NOUN	10
suchen	VERB	10
strom	NOUN	10
solidarität	NOUN	10
sitzen	VERB	10
senat	NOUN	10
schlagen	VERB	10
schalk	NOUN	10
risiko	NOUN	10
richter	NOUN	10
reise	NOUN	10
reichen	VERB	10
rathaus	NOUN	10
rad	NOUN	10
produktion	NOUN	10
politiker	NOUN	10
partie	NOUN	10
nummer	NOUN	10
nord	NOUN	10
niederlage	NOUN	10
natur	NOUN	10
nachmittag	NOUN	10
minister	NOUN	10
linke	NOUN	10
leiter	NOUN	10
laut	ADJ	10
landesregierung	NOUN	10
konzert	NOUN	10
konzept	NOUN	10
klasse	NOUN	10
kirche	NOUN	10
jeweilig	ADJ	10
internet	NOUN	10
historisch	ADJ	10
hersteller	NOUN	10
herr	NOUN	10
testen	VERB	10
geschwindigkeit	NOUN	10
rechnen	VERB	10
gelingen	VERB	10
gebiet	NOUN	10
freund	NOUN	10
freude	NOUN	10
freitagabend	NOUN	10
feuer	NOUN	10
fertig	ADJ	10
fahrbahn	NOUN	10
ermöglichen	VERB	10
erfolgen	VERB	10
entscheiden	VERB	10
durchführen	VERB	10
drohen	VERB	10
dringend	ADJ	10
dosis	NOUN	10
ding	NOUN	10
detail	NOUN	10
chef	NOUN	10
bundesliga	NOUN	10
bildung	NOUN	10
betrieb	NOUN	10
beteiligen	VERB	10
besonder	ADJ	10
beschränkung	NOUN	10
beenden	VERB	10
bedingung	NOUN	10
autobahn	NOUN	10
ausreichend	ADJ	10
ausland	NOUN	10
auszeichnen	VERB	10
ausbildung	NOUN	10
aufgabe	NOUN	10
arbeitnehmer	NOUN	10
ansicht	NOUN	10
anbieten	VERB	10
alltag	NOUN	10
wunsch	NOUN	9
wohnen	NOUN	9
wirken	VERB	9
weisen	VERB	9
werbung	NOUN	9
welle	NOUN	9
vorhaben	NOUN	9
vorfeld	NOUN	9
verurteilen	VERB	9
versuchen	VERB	9
verständnis	NOUN	9
verlegen	VERB	9
verbinden	VERB	9
verantwortung	NOUN	9
us-präsident	NOUN	9
urteil	NOUN	9
überzeugt	ADJ	9
Überblick	NOUN	9
trend	NOUN	9
tat	NOUN	9
tätig	ADJ	9
täglich	ADJ	9
system	NOUN	9
summe	NOUN	9
streit	NOUN	9
stattfinden	VERB	9
stadion	NOUN	9
serie	NOUN	9
selbstverständlich	ADJ	9
restaurant	NOUN	9
reaktion	NOUN	9
rang	NOUN	9
profitieren	VERB	9
pkw	NOUN	9
passagier	NOUN	9
notbremse	NOUN	9
nachricht	NOUN	9
museum	NOUN	9
morgen	NOUN	9
menge	NOUN	9
medizinisch	ADJ	9
marke	NOUN	9
lehrer	NOUN	9
laufend	ADJ	9
langsam	ADJ	9
kurs	NOUN	9
kündigen	VERB	9
konkret	ADJ	9
investor	NOUN	9
hund	NOUN	9
holen	VERB	9
herrschen	VERB	9
hängen	VERB	9
glück	NOUN	9
gesetz	NOUN	9
geschäftsführer	NOUN	9
gastronomie	NOUN	9
fehler	NOUN	9
fahrt	NOUN	9
erwachsene	NOUN	9
erhöhen	VERB	9
eintracht	NOUN	9
einrichtung	NOUN	9
duell	NOUN	9
doppelt	ADJ	9
dauer	NOUN	9
club	NOUN	9
bürgerin	NOUN	9
bundesland	NOUN	9
britisch	ADJ	9
beziehung	NOUN	9
bewohner	NOUN	9
betragen	VERB	9
beschäftigte	NOUN	9
bemerken	VERB	9
beitragen	VERB	9
befragte	NOUN	9
bedeutung	NOUN	9
bayer	NOUN	9
bauen	VERB	9
band	NOUN	9
aussicht	NOUN	9
äußern	VERB	9
ausstatten	VERB	9
auftrag	NOUN	9
aufmerksam	ADJ	9
auffordern	VERB	9
anlage	NOUN	9
abstimmung	NOUN	9
zuständig	ADJ	8
zugänglich	ADJ	8
zufrieden	ADJ	8
wetter	NOUN	8
weltmeister	NOUN	8
vorschlag	NOUN	8
vorfall	NOUN	8
vorbereitung	NOUN	8
voraussichtlich	ADJ	8
verzeichnen	VERB	8
verteidiger	NOUN	8
versuch	NOUN	8
verhältnis	NOUN	8
verbieten	VERB	8
verantwortlich	ADJ	8
ursache	NOUN	8
unterricht	NOUN	8
unabhängig	ADJ	8
umfrage	NOUN	8
übrig	ADJ	8
turnier	NOUN	8
tragen	VERB	8
tonne	NOUN	8
tisch	NOUN	8
tiroler	NOUN	8
teuer	ADJ	8
technisch	ADJ	8
symptom	NOUN	8
stimmung	NOUN	8
standort	NOUN	8
staffel	NOUN	8
sprache	NOUN	8
sitzung	NOUN	8
